district_slug,district_label,population (people),area (km^2),population density (people/km^2)
jongnogu,Jongno-gu,149608,23.91,6256
junggu,Jung-gu,131214,9.96,13174
yongsangu,Yongsan-gu,217194,21.87,9932
seongdonggu,Seongdong-gu,281289,16.82,16723
gwangjingu,Gwangjin-gu,348652,17.06,20433
dongdaemungu,Dongdaemun-gu,358603,14.22,25226
jungnanggu,Jungnang-gu,385349,18.5,20832
seongbukgu,Seongbuk-gu,435037,24.58,17700
gangbukgu,Gangbuk-gu,289374,23.61,12258
dobonggu,Dobong-gu,306032,20.65,14819
nowongu,Nowon-gu,496552,35.44,14010
eunpyeonggu,Eunpyeong-gu,465350,29.71,15663
seodaemungu,Seodaemun-gu,318622,17.63,18073
mapogu,Mapo-gu,372745,23.85,15626
yangcheongu,Yangcheon-gu,434351,17.41,24953
gangseogu,Gangseo-gu,562194,41.45,13563
gurogu,Guro-gu,411916,20.12,20472
geumcheongu,Geumcheon-gu,239070,13.02,18364
yeongdeungpogu,Yeongdeungpo-gu,397173,24.55,16177
dongjakgu,Dongjak-gu,387352,16.35,23684
gwanakgu,Gwanak-gu,495620,29.57,16762
seochogu,Seocho-gu,413076,46.97,8795
gangnamgu,Gangnam-gu,563215,39.5,14259
songpagu,Songpa-gu,656310,33.88,19374
gangdonggu,Gangdong-gu,481474,24.59,19580
